id,verbatim_text,product,pack,region,issue_type,source,created_at,taxonomy_coverage,is_planted_issue,planted_issue_id
1314dc9b-6e1e-4848-99da-6048b43b6ebc,Granola Bar tastes stale from Pacific Northwest,Granola Bar,Can 330ml,Pacific Northwest,Stale Taste,Twitter,2026-01-15T00:03:00,0.67,False,
13ab4e5b-51f4-49b8-9b5f-6f56e891d18f,Can 330ml leaking in transit to Northeast,Cookies Pack,Can 330ml,Northeast,Leaking,Email,2026-01-15T00:32:00,0.69,False,
c6f0f098-ecf1-401c-ae3a-c2c392beaba7,Resealable Bag v2 - New Lid leaking in transit to Pacific Northwest,Granola Bar,Resealable Bag v2 - New Lid,Pacific Northwest,Leaking,Amazon Review,2026-01-15T00:33:00,0.8,False,
8f2d79cc-a448-4139-ab9b-675117059721,New lid on Can 330ml doesn't seal properly,Cookies Pack,Can 330ml,California,Seal Failure,Email,2026-01-15T00:51:00,0.61,False,
7eac8b85-de61-4169-a15b-bdce921447f5,Box crushed in shipping to Pacific Northwest,Crunchy Chips,Resealable Bag v1,Pacific Northwest,Damaged Pack,Call Center,2026-01-15T01:04:00,0.82,False,
806ae93d-0a2a-492f-81be-5edf18fcb81e,Ordered Soda Pop got wrong flavor,Soda Pop,Resealable Bag v2 - New Lid,Northeast,Wrong Flavor,Email,2026-01-15T01:06:00,0.78,False,
81640ad8-d58a-4c26-9dd2-f0e70002f233,Stale Cookies Pack in Can 330ml,Cookies Pack,Can 330ml,Pacific Northwest,Stale Taste,Call Center,2026-01-15T01:06:00,0.87,False,
f4a4c95a-5cf3-4a62-84b3-af2225caad1f,Soda Pop tastes stale from Northeast,Soda Pop,Can 330ml,Northeast,Stale Taste,Call Center,2026-01-15T01:06:00,0.78,False,
fda7124f-df37-4c9a-bbff-5b37aa473aef,New lid on Resealable Bag v2 - New Lid doesn't seal properly,Soda Pop,Resealable Bag v2 - New Lid,Northeast,Seal Failure,Amazon Review,2026-01-15T01:12:00,0.87,False,
ff267208-39ab-40e9-94ca-d6a434e3e974,Ordered Cookies Pack got wrong flavor,Cookies Pack,Can 330ml,Pacific Northwest,Wrong Flavor,Email,2026-01-15T01:21:00,0.9,False,
b2b10ebc-30b5-41e5-927d-8fa58cd270d5,Resealable Bag v2 - New Lid half empty - Soda Pop,Soda Pop,Resealable Bag v2 - New Lid,California,Low Fill,Call Center,2026-01-15T01:41:00,0.91,False,
b1cfa159-b425-46cd-a46f-f29d6184a367,Opened Soda Pop and it was stale,Soda Pop,Box 200g,California,Stale Taste,Email,2026-01-15T01:44:00,0.67,False,
204d321e-e29c-46ed-9ae2-506812f1e6ce,Resealable Bag v2 - New Lid arrived torn,Crunchy Chips,Resealable Bag v2 - New Lid,California,Damaged Pack,Call Center,2026-01-15T01:56:00,0.71,False,
b36434d2-8acf-4527-b1e9-bcaeff7f1a35,Resealable Bag v2 - New Lid arrived torn,Cookies Pack,Resealable Bag v2 - New Lid,Midwest,Damaged Pack,Call Center,2026-01-15T02:00:00,0.92,False,
72e0b3cf-9104-450e-aa4a-001f2f29ea2e,New lid on Resealable Bag v1 doesn't seal properly,Crunchy Chips,Resealable Bag v1,Texas,Seal Failure,Call Center,2026-01-15T02:01:00,0.73,False,
e88f2844-c30f-479f-9de6-acf6bfd2a2e0,Box 200g leaking in transit to Texas,Soda Pop,Box 200g,Texas,Leaking,Twitter,2026-01-15T02:18:00,0.89,False,
5c01a598-697a-49cd-9cc3-c509321dff12,Box crushed in shipping to Midwest,Soda Pop,Resealable Bag v1,Midwest,Damaged Pack,Twitter,2026-01-15T02:33:00,0.78,False,
0eaed45c-bedb-49af-8793-a936c55301ec,New lid on Can 330ml doesn't seal properly,Soda Pop,Can 330ml,Texas,Seal Failure,Twitter,2026-01-15T02:34:00,0.76,False,
befdf9ea-bce1-4d31-b391-aa31584c2afb,Can 330ml half empty - Granola Bar,Granola Bar,Can 330ml,Texas,Low Fill,Email,2026-01-15T03:06:00,0.78,False,
009a6e2b-217f-41cf-9e0b-1b26c23c8ccf,Ordered Granola Bar got wrong flavor,Granola Bar,Resealable Bag v1,Midwest,Wrong Flavor,Twitter,2026-01-15T03:23:00,0.93,False,
e1fdb0f1-947f-4690-b08e-97fc014ca8e4,Can 330ml leaking in transit to Texas,Cookies Pack,Can 330ml,Texas,Leaking,Email,2026-01-15T03:38:00,0.69,False,
d467ea06-e095-4b86-886a-acbf6a623c9c,Cookies Pack tastes stale from Pacific Northwest,Cookies Pack,Resealable Bag v2 - New Lid,Pacific Northwest,Stale Taste,Twitter,2026-01-15T04:01:00,0.76,False,
aa694c76-9c0d-4630-92b1-945932aa477b,Can 330ml leaking in transit to Midwest,Crunchy Chips,Can 330ml,Midwest,Leaking,Amazon Review,2026-01-15T04:05:00,0.83,False,
